pit_lap,avg_time_s,min_time_s,max_time_s,std_dev,gap_to_best
10,4413.41,4403.12,4414.32,2.11,5.97
11,4412.65,4402.43,4413.35,1.5,5.21
12,4411.13,4401.49,4412.48,2.85,3.69
13,4410.37,4400.82,4411.69,2.82,2.93
14,4410.16,4400.23,4411.0,2.04,2.72
15,4409.14,4399.68,4410.4,2.79,1.7
16,4408.82,4399.29,4409.86,2.42,1.38
17,4408.31,4398.85,4409.46,2.4,0.87
18,4408.19,4398.69,4409.12,1.95,0.75
19,4408.42,4407.73,4408.88,0.29,0.98
20,4407.88,4398.27,4408.7,1.98,0.44
21,4407.44,4398.26,4408.66,2.69,0.0
22,4408.08,4398.57,4408.69,1.39,0.64
23,4407.53,4398.51,4408.92,2.9,0.09
24,4408.22,4398.77,4409.24,1.93,0.78
25,4408.83,4399.11,4409.56,1.42,1.39
26,4409.05,4399.55,4410.14,1.9,1.61
27,4409.33,4400.45,4410.72,2.22,1.89
28,4410.38,4401.48,4411.39,1.32,2.94
29,4410.91,4401.41,4412.16,1.9,3.47
30,4411.32,4402.2,4413.01,2.64,3.88
31,4412.6,4403.58,4413.96,1.86,5.16
32,4413.48,4404.58,4414.91,1.82,6.04
33,4413.96,4405.14,4416.11,2.8,6.52
34,4415.73,4406.86,4417.33,1.37,8.29
35,4417.23,4408.72,4418.63,1.83,9.79
36,4418.32,4410.11,4420.03,1.77,10.88
37,4419.74,4410.96,4421.51,1.91,12.3
38,4420.92,4411.83,4423.08,2.84,13.48
39,4422.79,4414.14,4424.75,2.27,15.35
40,4424.21,4415.13,4426.5,2.48,16.77
41,4426.57,4418.43,4428.35,1.35,19.13
42,4427.95,4418.8,4430.28,3.12,20.51
