track,team,setup,tyre,lap_in_stint,lap_time_s
Monza,RedBull,low,SOFT,1,79.978
Monza,RedBull,low,SOFT,10,80.608
Monza,RedBull,low,SOFT,20,81.308
Monza,RedBull,low,MEDIUM,1,80.403
Monza,RedBull,low,MEDIUM,10,80.808
Monza,RedBull,low,MEDIUM,20,81.258
Monza,RedBull,low,HARD,1,80.778
Monza,RedBull,low,HARD,10,80.958
Monza,RedBull,low,HARD,20,81.158
Interlagos,RedBull,low,SOFT,1,72.51
Interlagos,RedBull,low,SOFT,10,73.14
Interlagos,RedBull,low,SOFT,20,73.84
Interlagos,RedBull,low,MEDIUM,1,72.935
Interlagos,RedBull,low,MEDIUM,10,73.34
Interlagos,RedBull,low,MEDIUM,20,73.79
Interlagos,RedBull,low,HARD,1,73.31
Interlagos,RedBull,low,HARD,10,73.49
Interlagos,RedBull,low,HARD,20,73.69
