pit_lap,total_time_s,gap_to_best
10,5258.75,10.05
11,5257.45,8.75
12,5256.24,7.54
13,5255.12,6.42
14,5254.09,5.39
15,5253.15,4.45
16,5252.3,3.6
17,5251.54,2.84
18,5250.87,2.17
19,5250.29,1.59
20,5249.8,1.1
21,5249.4,0.7
22,5249.09,0.39
23,5248.87,0.17
24,5248.74,0.04
25,5248.7,0.0
26,5248.75,0.05
27,5248.89,0.19
28,5249.12,0.42
29,5249.44,0.74
30,5249.85,1.15
31,5250.35,1.65
32,5250.94,2.24
33,5251.62,2.92
34,5252.39,3.69
35,5253.25,4.55
36,5254.2,5.5
37,5255.24,6.54
38,5256.37,7.67
39,5257.59,8.89
40,5258.9,10.2
41,5260.3,11.6
42,5261.79,13.09
43,5263.37,14.67
44,5265.04,16.34
45,5266.8,18.1
46,5268.65,19.95
47,5270.59,21.89
48,5272.62,23.92
49,5274.74,26.04
50,5276.95,28.25
51,5279.25,30.55
52,5281.64,32.94
53,5284.12,35.42
54,5286.69,37.99
55,5289.35,40.65
56,5292.1,43.4
57,5294.94,46.24
58,5297.87,49.17
59,5300.89,52.19
60,5304.0,55.3
